Winner,title_bout,weight_class,gender,no_of_rounds,B_current_streak,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_decision,B_win_finish,B_Stance,B_Height_cms,B_Reach_cms,R_current_streak,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_decision,R_win_finish,R_Stance,R_Height_cms,R_Reach_cms,R_age,B_age,streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,decision_dif,finish_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,B_match_weightclass_rank,R_match_weightclass_rank,better_rank,rank_diff,B_is_35plus,R_is_35plus,year
Blue,False,Welterweight,MALE,3,1,3.87,0.33,0.0,1.51,0.36,4,23,0,1,5,Southpaw,177.8,193.04,1,5.02,0.41,0.3,0.34,0.22,5,44,0,8,4,Orthodox,180.34,182.88,33,29,0,-6,-1,-21,0,-7,1,-2.539999999999992,10.159999999999997,-4,-1.1499999999999997,-0.3,1.17,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Lightweight,MALE,3,-1,3.94,0.43,0.4,0.55,0.13,4,23,0,3,1,Southpaw,182.88,177.8,-1,4.58,0.4,0.1,0.68,0.17,8,43,0,3,10,Southpaw,172.72,177.8,34,34,0,-9,-4,-20,0,0,-9,10.159999999999997,0.0,0,-0.6400000000000001,0.3,-0.13,20.0,20.0,neither,0.0,0.0,0.0,2023
Blue,False,Featherweight,MALE,3,1,6.11,0.52,0.1,0.89,0.46,4,22,0,2,2,Switch,182.88,185.42,1,4.63,0.41,0.1,1.2,0.31,5,23,0,3,3,Orthodox,175.26,182.88,31,34,0,-2,-1,-1,0,-1,-1,7.620000000000003,2.5400000000000205,3,1.4800000000000004,0.0,-0.3099999999999999,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Women's Strawweight,FEMALE,3,1,6.59,0.42,0.0,0.97,0.62,3,13,0,2,0,Orthodox,170.18,172.72,3,5.92,0.43,0.2,0.36,0.26,7,40,1,7,1,Orthodox,160.02,162.56,37,27,-2,-6,-4,-27,-1,-5,-1,10.159999999999997,10.159999999999997,-10,0.6699999999999999,-0.2,0.61,20.0,15.0,Red,5.0,0.0,1.0,2023
Red,False,Flyweight,MALE,3,-1,2.0,0.38,0.0,1.47,0.14,1,4,0,0,1,Orthodox,167.64,180.34,-2,2.33,0.48,0.3,0.87,0.75,2,11,0,1,2,Orthodox,177.8,182.88,32,24,1,-2,-1,-7,0,-1,-1,-10.159999999999997,-2.539999999999992,-8,-0.33,-0.3,0.6,20.0,20.0,neither,0.0,0.0,0.0,2023
Red,False,Women's Strawweight,FEMALE,3,-1,2.15,0.56,0.8,3.38,0.56,1,5,0,1,0,Orthodox,154.94,157.48,-1,3.44,0.43,0.7,0.49,0.13,3,16,0,2,1,Orthodox,157.48,149.86,35,30,0,-2,-2,-11,0,-1,-1,-2.539999999999992,7.619999999999976,-5,-1.29,0.1,2.89,20.0,20.0,neither,0.0,0.0,1.0,2023
Red,False,Bantamweight,MALE,3,-1,2.44,0.36,1.8,2.4,0.25,3,12,0,1,1,Orthodox,175.26,180.34,-1,5.31,0.5,0.0,1.64,0.46,3,11,0,1,1,Orthodox,170.18,175.26,30,30,0,0,0,1,0,0,0,5.079999999999984,5.0800000000000125,0,-2.87,1.8,0.76,20.0,20.0,neither,0.0,0.0,0.0,2023
Blue,False,Women's Flyweight,FEMALE,3,1,4.05,0.46,0.0,0.71,0.25,5,36,0,7,1,Southpaw,165.1,170.18,-2,2.7,0.36,0.8,1.71,0.31,4,25,0,1,4,Orthodox,170.18,172.72,28,31,3,3,1,11,0,6,-3,-5.0800000000000125,-2.539999999999992,3,1.3499999999999996,-0.8,-1.0,20.0,20.0,neither,0.0,0.0,0.0,2023
Blue,False,Lightweight,MALE,5,1,2.97,0.5,0.2,4.36,0.3,2,19,0,2,3,Southpaw,177.8,177.8,-1,4.9,0.51,0.0,0.29,0.4,2,22,0,3,3,Switch,172.72,180.34,30,32,2,-1,0,-3,0,-1,0,5.0800000000000125,-2.539999999999992,2,-1.93,0.2,4.07,7.0,6.0,Red,1.0,0.0,0.0,2023
Red,False,Featherweight,MALE,3,2,3.76,0.45,0.3,1.07,0.26,5,42,0,5,5,Orthodox,170.18,180.34,-1,2.34,0.58,1.6,3.51,0.41,1,18,0,5,1,Southpaw,177.8,177.8,28,32,3,4,4,24,0,0,4,-7.620000000000003,2.539999999999992,4,1.42,-1.3,-2.4399999999999995,12.0,10.0,Red,2.0,0.0,0.0,2023
